Approved Symbol	Approved Name	Entrez Gene ID	Mouse Genome Database ID	RefSeq IDs
RN7SKP33	RNA, 7SK small nuclear pseudogene 33	106480843		
RN7SKP34	RNA, 7SK small nuclear pseudogene 34	106479110		
RN7SKP35	RNA, 7SK small nuclear pseudogene 35	106479111		
RN7SKP36	RNA, 7SK small nuclear pseudogene 36	106480458		
RN7SKP37	RNA, 7SK small nuclear pseudogene 37	106480844		
RN7SKP38	RNA, 7SK small nuclear pseudogene 38	106479112		
RN7SKP39	RNA, 7SK small nuclear pseudogene 39	106480845		
RN7SKP40	RNA, 7SK small nuclear pseudogene 40	106479113		
RN7SKP41~withdrawn	entry withdrawn			
RN7SKP42	RNA, 7SK small nuclear pseudogene 42	106480846		
RN7SKP43	RNA, 7SK small nuclear pseudogene 43	106481806		
RN7SKP44	RNA, 7SK small nuclear pseudogene 44	106479114		
RN7SKP45	RNA, 7SK small nuclear pseudogene 45	106479115		
RN7SKP46	RNA, 7SK small nuclear pseudogene 46	106480847		
RN7SKP47	RNA, 7SK small nuclear pseudogene 47	106481974		
RN7SKP48	RNA, 7SK small nuclear pseudogene 48	106479116		
RN7SKP49	RNA, 7SK small nuclear pseudogene 49	106480848		
RN7SKP50	RNA, 7SK small nuclear pseudogene 50	106480459		
RN7SKP51	RNA, 7SK small nuclear pseudogene 51	106479117		
RN7SKP52	RNA, 7SK small nuclear pseudogene 52	106479118		
RN7SKP53	RNA, 7SK small nuclear pseudogene 53	106480849		
RN7SKP54	RNA, 7SK small nuclear pseudogene 54	107080626		
RN7SKP55	RNA, 7SK small nuclear pseudogene 55	106479119		
RN7SKP56	RNA, 7SK small nuclear pseudogene 56	106481807		
RN7SKP57	RNA, 7SK small nuclear pseudogene 57	106479120		
RN7SKP58	RNA, 7SK small nuclear pseudogene 58	106480850		
RN7SKP59	RNA, 7SK small nuclear pseudogene 59	106479121		
RN7SKP60	RNA, 7SK small nuclear pseudogene 60	106480851		
RN7SKP61	RNA, 7SK small nuclear pseudogene 61	106479122		
RN7SKP62	RNA, 7SK small nuclear pseudogene 62	106480460		
RN7SKP63	RNA, 7SK small nuclear pseudogene 63	106479123		
RN7SKP64	RNA, 7SK small nuclear pseudogene 64	106480852		
RN7SKP65	RNA, 7SK small nuclear pseudogene 65	106479124		
RN7SKP66	RNA, 7SK small nuclear pseudogene 66	106480853		
RN7SKP67	RNA, 7SK small nuclear pseudogene 67	106479125		
RN7SKP68	RNA, 7SK small nuclear pseudogene 68	106480854		
RN7SKP69	RNA, 7SK small nuclear pseudogene 69	106480461		
RN7SKP70	RNA, 7SK small nuclear pseudogene 70	107057644		
RN7SKP71	RNA, 7SK small nuclear pseudogene 71	106479126		
RN7SKP72	RNA, 7SK small nuclear pseudogene 72	106481748		
RN7SKP73	RNA, 7SK small nuclear pseudogene 73	106480855		
RN7SKP74	RNA, 7SK small nuclear pseudogene 74	106479127		
RN7SKP75	RNA, 7SK small nuclear pseudogene 75	106480856		
RN7SKP76	RNA, 7SK small nuclear pseudogene 76	106481808		
RN7SKP77	RNA, 7SK small nuclear pseudogene 77	106479128		
RN7SKP78	RNA, 7SK small nuclear pseudogene 78	106479129		
RN7SKP79	RNA, 7SK small nuclear pseudogene 79	106480857		
RN7SKP80	RNA, 7SK small nuclear pseudogene 80	106479130		
RN7SKP81	RNA, 7SK small nuclear pseudogene 81	106480858		
RN7SKP82	RNA, 7SK small nuclear pseudogene 82	106480462		
RN7SKP83	RNA, 7SK small nuclear pseudogene 83	106479131		
RN7SKP84~withdrawn	entry withdrawn			
RN7SKP85	RNA, 7SK small nuclear pseudogene 85	106479132		
RN7SKP86	RNA, 7SK small nuclear pseudogene 86	106480859		
RN7SKP87	RNA, 7SK small nuclear pseudogene 87	106479133		
RN7SKP88	RNA, 7SK small nuclear pseudogene 88	106480860		
RN7SKP89	RNA, 7SK small nuclear pseudogene 89	106479134		
RN7SKP90	RNA, 7SK small nuclear pseudogene 90	106481809		
RN7SKP91	RNA, 7SK small nuclear pseudogene 91	106480861		
RN7SKP92	RNA, 7SK small nuclear pseudogene 92	106479135		
RN7SKP93	RNA, 7SK small nuclear pseudogene 93	106479136		
RN7SKP94	RNA, 7SK small nuclear pseudogene 94	106480365		
RN7SKP95	RNA, 7SK small nuclear pseudogene 95	106480862		
RN7SKP96	RNA, 7SK small nuclear pseudogene 96	106479137		
RN7SKP97	RNA, 7SK small nuclear pseudogene 97	106480463		
RN7SKP98	RNA, 7SK small nuclear pseudogene 98	106480863		
RN7SKP99	RNA, 7SK small nuclear pseudogene 99	106479138		
RN7SKP100	RNA, 7SK small nuclear pseudogene 100	106479139		
RN7SKP101	RNA, 7SK small nuclear pseudogene 101	106480864		
RN7SKP102	RNA, 7SK small nuclear pseudogene 102	106481810		
RN7SKP103	RNA, 7SK small nuclear pseudogene 103	106479140		
RN7SKP104	RNA, 7SK small nuclear pseudogene 104	106480865		
RN7SKP105	RNA, 7SK small nuclear pseudogene 105	106479141		
RN7SKP106	RNA, 7SK small nuclear pseudogene 106	106479142		
RN7SKP107	RNA, 7SK small nuclear pseudogene 107	106480464		
RN7SKP108	RNA, 7SK small nuclear pseudogene 108	106480866		
RN7SKP109	RNA, 7SK small nuclear pseudogene 109	106479143		
RN7SKP110	RNA, 7SK small nuclear pseudogene 110	106480867		
RN7SKP111	RNA, 7SK small nuclear pseudogene 111	106479144		
RN7SKP112	RNA, 7SK small nuclear pseudogene 112	106479145		
RN7SKP113	RNA, 7SK small nuclear pseudogene 113	106480465		
RN7SKP114	RNA, 7SK small nuclear pseudogene 114	106480868		
RN7SKP115	RNA, 7SK small nuclear pseudogene 115	106479146		
RN7SKP116	RNA, 7SK small nuclear pseudogene 116	106480869		
RN7SKP117	RNA, 7SK small nuclear pseudogene 117	106479147		
RN7SKP118	RNA, 7SK small nuclear pseudogene 118	106633802		
RN7SKP119	RNA, 7SK small nuclear pseudogene 119	106481749		
RN7SKP120	RNA, 7SK small nuclear pseudogene 120	106480870		
RN7SKP121	RNA, 7SK small nuclear pseudogene 121	106481811		
RN7SKP122	RNA, 7SK small nuclear pseudogene 122	106479148		
RN7SKP123	RNA, 7SK small nuclear pseudogene 123	106479149		
RN7SKP124	RNA, 7SK small nuclear pseudogene 124	106480871		
RN7SKP125	RNA, 7SK small nuclear pseudogene 125	106479150		
RN7SKP126	RNA, 7SK small nuclear pseudogene 126	106480872		
RN7SKP127	RNA, 7SK small nuclear pseudogene 127	106480466		
RN7SKP128	RNA, 7SK small nuclear pseudogene 128	106479151		
RN7SKP129	RNA, 7SK small nuclear pseudogene 129	106479152		
RN7SKP130	RNA, 7SK small nuclear pseudogene 130	106480873		
RN7SKP131	RNA, 7SK small nuclear pseudogene 131	106479153		
RN7SKP132	RNA, 7SK small nuclear pseudogene 132	106480874		
RN7SKP133	RNA, 7SK small nuclear pseudogene 133	106481812		
RN7SKP134	RNA, 7SK small nuclear pseudogene 134	106479154		
RN7SKP135	RNA, 7SK small nuclear pseudogene 135	106480875		
RN7SKP136	RNA, 7SK small nuclear pseudogene 136	106479155		
RN7SKP137	RNA, 7SK small nuclear pseudogene 137	106479156		
RN7SKP138~withdrawn	symbol withdrawn, see RN7SKP186			
RN7SKP139	RNA, 7SK small nuclear pseudogene 139	106480876		
RN7SKP140	RNA, 7SK small nuclear pseudogene 140	106480366		
RN7SKP141	RNA, 7SK small nuclear pseudogene 141	106479157		
RN7SKP142	RNA, 7SK small nuclear pseudogene 142	106480877		
RN7SKP143	RNA, 7SK small nuclear pseudogene 143	106479158		
RN7SKP144	RNA, 7SK small nuclear pseudogene 144	106479159		
RN7SKP145	RNA, 7SK small nuclear pseudogene 145	106480878		
RN7SKP146	RNA, 7SK small nuclear pseudogene 146	106479160		
RN7SKP147	RNA, 7SK small nuclear pseudogene 147	106480879		
RN7SKP148	RNA, 7SK small nuclear pseudogene 148	106480467		
RN7SKP149	RNA, 7SK small nuclear pseudogene 149	106479161		
RN7SKP150	RNA, 7SK small nuclear pseudogene 150	106480880		
RN7SKP151	RNA, 7SK small nuclear pseudogene 151	106479162		
RN7SKP152	RNA, 7SK small nuclear pseudogene 152	106479163		
RN7SKP153	RNA, 7SK small nuclear pseudogene 153	106481813		
RN7SKP154	RNA, 7SK small nuclear pseudogene 154	106480881		
RN7SKP155	RNA, 7SK small nuclear pseudogene 155	106479164		
RN7SKP156	RNA, 7SK small nuclear pseudogene 156	106480882		
RN7SKP157	RNA, 7SK small nuclear pseudogene 157	106479165		
RN7SKP158	RNA, 7SK small nuclear pseudogene 158	106480883		
RN7SKP159	RNA, 7SK small nuclear pseudogene 159	106480468		
RN7SKP160	RNA, 7SK small nuclear pseudogene 160	106479166		
RN7SKP161	RNA, 7SK small nuclear pseudogene 161	106479167		
RN7SKP162	RNA, 7SK small nuclear pseudogene 162	106480884		
RN7SKP163	RNA, 7SK small nuclear pseudogene 163	106479168		
RN7SKP164	RNA, 7SK small nuclear pseudogene 164	106480885		
RN7SKP165	RNA, 7SK small nuclear pseudogene 165	106480367		
RN7SKP166	RNA, 7SK small nuclear pseudogene 166	106481814		
RN7SKP167	RNA, 7SK small nuclear pseudogene 167	106479169		
RN7SKP168	RNA, 7SK small nuclear pseudogene 168	106479170		
RN7SKP169	RNA, 7SK small nuclear pseudogene 169	106480886		
RN7SKP170	RNA, 7SK small nuclear pseudogene 170	106479171		
RN7SKP171	RNA, 7SK small nuclear pseudogene 171	106480887		
RN7SKP172	RNA, 7SK small nuclear pseudogene 172	106480469		
RN7SKP173	RNA, 7SK small nuclear pseudogene 173	106635535		
RN7SKP174	RNA, 7SK small nuclear pseudogene 174	106479172		
RN7SKP175	RNA, 7SK small nuclear pseudogene 175	106479173		
RN7SKP176	RNA, 7SK small nuclear pseudogene 176	106635536		
RN7SKP177	RNA, 7SK small nuclear pseudogene 177	106479174		
RN7SKP178	RNA, 7SK small nuclear pseudogene 178	106479175		
RN7SKP179	RNA, 7SK small nuclear pseudogene 179	106481815		
RN7SKP180	RNA, 7SK small nuclear pseudogene 180	106480888		
RN7SKP181	RNA, 7SK small nuclear pseudogene 181	106479176		
RN7SKP182	RNA, 7SK small nuclear pseudogene 182	106479177		
RN7SKP183	RNA, 7SK small nuclear pseudogene 183	106480889		
RN7SKP184	RNA, 7SK small nuclear pseudogene 184	106480470		
RN7SKP185	RNA, 7SK small nuclear pseudogene 185	106479178		
RN7SKP186	RNA, 7SK small nuclear pseudogene 186	106480692		
RN7SKP187	RNA, 7SK small nuclear pseudogene 187	106480890		
RN7SKP188	RNA, 7SK small nuclear pseudogene 188	106479179		
RN7SKP189	RNA, 7SK small nuclear pseudogene 189	106479180		
RN7SKP190	RNA, 7SK small nuclear pseudogene 190	106480891		
RN7SKP191	RNA, 7SK small nuclear pseudogene 191	106480471		
RN7SKP192	RNA, 7SK small nuclear pseudogene 192	106480892		
RN7SKP193	RNA, 7SK small nuclear pseudogene 193	106479181		
RN7SKP194	RNA, 7SK small nuclear pseudogene 194	106480893		
RN7SKP195	RNA, 7SK small nuclear pseudogene 195	106481816		
RN7SKP196	RNA, 7SK small nuclear pseudogene 196	106479182		
RN7SKP197	RNA, 7SK small nuclear pseudogene 197	106480894		
RN7SKP198	RNA, 7SK small nuclear pseudogene 198	106479183		
RN7SKP199	RNA, 7SK small nuclear pseudogene 199	106479184		
RN7SKP200	RNA, 7SK small nuclear pseudogene 200	106480895		
RN7SKP201~withdrawn	entry withdrawn			
RN7SKP202	RNA, 7SK small nuclear pseudogene 202	106480472		
RN7SKP203	RNA, 7SK small nuclear pseudogene 203	106479185		
RN7SKP204	RNA, 7SK small nuclear pseudogene 204	106480896		
RN7SKP205	RNA, 7SK small nuclear pseudogene 205	106479186		
RN7SKP206	RNA, 7SK small nuclear pseudogene 206	106479187		
RN7SKP207	RNA, 7SK small nuclear pseudogene 207	106480897		
RN7SKP208	RNA, 7SK small nuclear pseudogene 208	106481817		
RN7SKP209	RNA, 7SK small nuclear pseudogene 209	106479188		
RN7SKP210	RNA, 7SK small nuclear pseudogene 210	106480898		
RN7SKP211	RNA, 7SK small nuclear pseudogene 211	106479189		
RN7SKP212	RNA, 7SK small nuclear pseudogene 212	106481750		
RN7SKP213	RNA, 7SK small nuclear pseudogene 213	106480899		
RN7SKP214	RNA, 7SK small nuclear pseudogene 214	106480473		
RN7SKP215~withdrawn	entry withdrawn			
RN7SKP216	RNA, 7SK small nuclear pseudogene 216	106479190		
RN7SKP217	RNA, 7SK small nuclear pseudogene 217	106479191		
RN7SKP218	RNA, 7SK small nuclear pseudogene 218	106480900		
RN7SKP219	RNA, 7SK small nuclear pseudogene 219	106479192		
RN7SKP220	RNA, 7SK small nuclear pseudogene 220	106480901		
RN7SKP221	RNA, 7SK small nuclear pseudogene 221	106480474		
RN7SKP222	RNA, 7SK small nuclear pseudogene 222	106479193		
RN7SKP223	RNA, 7SK small nuclear pseudogene 223	106479194		
RN7SKP224	RNA, 7SK small nuclear pseudogene 224	106480902		
RN7SKP225	RNA, 7SK small nuclear pseudogene 225	106479195		
RN7SKP226	RNA, 7SK small nuclear pseudogene 226	106480903		
RN7SKP227	RNA, 7SK small nuclear pseudogene 227	106481818		
RN7SKP228	RNA, 7SK small nuclear pseudogene 228	106479196		
RN7SKP229	RNA, 7SK small nuclear pseudogene 229	106480904		
RN7SKP230	RNA, 7SK small nuclear pseudogene 230	106479197		
RN7SKP231	RNA, 7SK small nuclear pseudogene 231	106479198		
RN7SKP232	RNA, 7SK small nuclear pseudogene 232	106480905		
RN7SKP233	RNA, 7SK small nuclear pseudogene 233	106480475		
RN7SKP234	RNA, 7SK small nuclear pseudogene 234	106480368		
RN7SKP235	RNA, 7SK small nuclear pseudogene 235	106479199		
RN7SKP236	RNA, 7SK small nuclear pseudogene 236	106480906		
RN7SKP237	RNA, 7SK small nuclear pseudogene 237	106479200		
RN7SKP238	RNA, 7SK small nuclear pseudogene 238	106479201		
RN7SKP239	RNA, 7SK small nuclear pseudogene 239	106480907		
RN7SKP240	RNA, 7SK small nuclear pseudogene 240	106479202		
RN7SKP241	RNA, 7SK small nuclear pseudogene 241	107063536		
RN7SKP242	RNA, 7SK small nuclear pseudogene 242	106480908		
RN7SKP243	RNA, 7SK small nuclear pseudogene 243	106481819		
RN7SKP244	RNA, 7SK small nuclear pseudogene 244	106479203		
RN7SKP245	RNA, 7SK small nuclear pseudogene 245	106480909		
RN7SKP246	RNA, 7SK small nuclear pseudogene 246	106479204		
RN7SKP247	RNA, 7SK small nuclear pseudogene 247	106479205		
RN7SKP248	RNA, 7SK small nuclear pseudogene 248	106480476		
RN7SKP249	RNA, 7SK small nuclear pseudogene 249	106480910		
RN7SKP250	RNA, 7SK small nuclear pseudogene 250	106479206		
RN7SKP251	RNA, 7SK small nuclear pseudogene 251	106633807		
RN7SKP252	RNA, 7SK small nuclear pseudogene 252	106479207		
RN7SKP253	RNA, 7SK small nuclear pseudogene 253	106479208		
RN7SKP254	RNA, 7SK small nuclear pseudogene 254	106481820		
RN7SKP255	RNA, 7SK small nuclear pseudogene 255	106479209		
RN7SKP256	RNA, 7SK small nuclear pseudogene 256	106480911		
RN7SKP257	RNA, 7SK small nuclear pseudogene 257	106479210		
RN7SKP258	RNA, 7SK small nuclear pseudogene 258	106480912		
RN7SKP259	RNA, 7SK small nuclear pseudogene 259	106481751		
RN7SKP260	RNA, 7SK small nuclear pseudogene 260	106479211		
RN7SKP261	RNA, 7SK small nuclear pseudogene 261	106480477		
RN7SKP262	RNA, 7SK small nuclear pseudogene 262	106479212		
RN7SKP263	RNA, 7SK small nuclear pseudogene 263	106480913		
RN7SKP264	RNA, 7SK small nuclear pseudogene 264	106479213		
RN7SKP265	RNA, 7SK small nuclear pseudogene 265	106480914		
RN7SKP266	RNA, 7SK small nuclear pseudogene 266	106479214		
RN7SKP267	RNA, 7SK small nuclear pseudogene 267	106480478		
RN7SKP268	RNA, 7SK small nuclear pseudogene 268	106479215		
RN7SKP269	RNA, 7SK small nuclear pseudogene 269	106480915		
RN7SKP270	RNA, 7SK small nuclear pseudogene 270	106479216		
RN7SKP271	RNA, 7SK small nuclear pseudogene 271	106480916		
RN7SKP272	RNA, 7SK small nuclear pseudogene 272	106479217		
RN7SKP273	RNA, 7SK small nuclear pseudogene 273	106481821		
RN7SKP274~withdrawn	entry withdrawn			
RN7SKP275	RNA, 7SK small nuclear pseudogene 275	106480917		
RN7SKP276	RNA, 7SK small nuclear pseudogene 276	106479218		
RN7SKP277	RNA, 7SK small nuclear pseudogene 277	106479219		
RN7SKP278	RNA, 7SK small nuclear pseudogene 278	106480918		
RN7SKP279	RNA, 7SK small nuclear pseudogene 279	106480479		
RN7SKP280	RNA, 7SK small nuclear pseudogene 280	106479220		
RN7SKP281	RNA, 7SK small nuclear pseudogene 281	106480369		
RN7SKP282	RNA, 7SK small nuclear pseudogene 282	106480919		
RN7SKP283	RNA, 7SK small nuclear pseudogene 283	106479221		
RN7SKP284	RNA, 7SK small nuclear pseudogene 284	106479222		
RN7SKP285	RNA, 7SK small nuclear pseudogene 285	106480920		
RN7SKP286	RNA, 7SK small nuclear pseudogene 286	106481822		
RN7SKP287	RNA, 7SK small nuclear pseudogene 287	106480921		
RN7SKP288	RNA, 7SK small nuclear pseudogene 288	106479223		
RN7SKP289	RNA, 7SK small nuclear pseudogene 289	106479224		
RN7SKP290	RNA, 7SK small nuclear pseudogene 290	106480480		
RN7SKP291	RNA, 7SK small nuclear pseudogene 291	106480922		
RN7SKP292	RNA, 7SK small nuclear pseudogene 292	106479225		
RN7SKP293	RNA, 7SK small nuclear pseudogene 293	106480923		
RN7SKP294	RNA, 7SK small nuclear pseudogene 294	106479226		
RN7SKP295	RNA, 7SK small nuclear pseudogene 295	106480924		
RN7SKP296	RNA, 7SK small nuclear pseudogene 296	106481823		
RN7SKP297	RNA, 7SK small nuclear pseudogene 297	106479227		
RN7SKP298	RNA, 7SK small nuclear pseudogene 298	106479228		
RN7SKP299	RNA, 7SK small nuclear pseudogene 299	106480925		
RN7SL1	RNA, 7SL, cytoplasmic 1	6029		NR_002715
RN7SL2	RNA, 7SL, cytoplasmic 2	378706		NR_027260
RN7SL3	RNA, 7SL, cytoplasmic 3	378707		NG_011406
RN7SL4P	RNA, 7SL, cytoplasmic 4, pseudogene	6030		NG_002425
RN7SL5P	RNA, 7SL, cytoplasmic 5, pseudogene	6031		NG_002426
RN7SL6P	RNA, 7SL, cytoplasmic 6, pseudogene	6032		NG_002427
RN7SL7P	RNA, 7SL, cytoplasmic 7, pseudogene	6033		NG_002428
RN7SL8P	RNA, 7SL, cytoplasmic 8, pseudogene	6034		NG_002429
RN7SL9P~withdrawn	entry withdrawn			
RN7SL10P~withdrawn	entry withdrawn			
RN7SL11P	RNA, 7SL, cytoplasmic 11, pseudogene	106479229		
RN7SL12P	RNA, 7SL, cytoplasmic 12, pseudogene	106480926		
RN7SL13P~withdrawn	entry withdrawn			
RN7SL14P	RNA, 7SL, cytoplasmic 14, pseudogene	106480481		
RN7SL15P	RNA, 7SL, cytoplasmic 15, pseudogene	106479230		
RN7SL16P	RNA, 7SL, cytoplasmic 16, pseudogene	106479231		
RN7SL17P~withdrawn	entry withdrawn			
RN7SL18P	RNA, 7SL, cytoplasmic 18, pseudogene	106480927		
RN7SL19P	RNA, 7SL, cytoplasmic 19, pseudogene	106480370		
RN7SL20P	RNA, 7SL, cytoplasmic 20, pseudogene	106479232		
RN7SL21P~withdrawn	entry withdrawn			
RN7SL22P	RNA, 7SL, cytoplasmic 22, pseudogene	106480928		
RN7SL23P	RNA, 7SL, cytoplasmic 23, pseudogene	106480482		
RN7SL24P~withdrawn	entry withdrawn			
RN7SL25P	RNA, 7SL, cytoplasmic 25, pseudogene	106479233		
RN7SL26P	RNA, 7SL, cytoplasmic 26, pseudogene	106479234		
RN7SL27P~withdrawn	symbol withdrawn, see RN7SL7P			
RN7SL28P	RNA, 7SL, cytoplasmic 28, pseudogene	106480929		
RN7SL29P~withdrawn	entry withdrawn			
RN7SL30P	RNA, 7SL, cytoplasmic 30, pseudogene	106479235		
RN7SL31P~withdrawn	entry withdrawn			
RN7SL32P	RNA, 7SL, cytoplasmic 32, pseudogene	106480930		
RN7SL33P	RNA, 7SL, cytoplasmic 33, pseudogene	106479236		
RN7SL34P	RNA, 7SL, cytoplasmic 34, pseudogene	106481824		
RN7SL35P	RNA, 7SL, cytoplasmic 35, pseudogene	106480931		
RN7SL36P	RNA, 7SL, cytoplasmic 36, pseudogene	106479237		
RN7SL37P	RNA, 7SL, cytoplasmic 37, pseudogene	106479238		
RN7SL38P	RNA, 7SL, cytoplasmic 38, pseudogene	106480932		
RN7SL39P	RNA, 7SL, cytoplasmic 39, pseudogene	106479239		
RN7SL40P	RNA, 7SL, cytoplasmic 40, pseudogene	106480483		
RN7SL41P	RNA, 7SL, cytoplasmic 41, pseudogene	106480933		
RN7SL42P	RNA, 7SL, cytoplasmic 42, pseudogene	106479240		
RN7SL43P	RNA, 7SL, cytoplasmic 43, pseudogene	106479241		
RN7SL44P	RNA, 7SL, cytoplasmic 44, pseudogene	106480934		
RN7SL45P	RNA, 7SL, cytoplasmic 45, pseudogene	106481975		
RN7SL46P~withdrawn	entry withdrawn			
RN7SL47P	RNA, 7SL, cytoplasmic 47, pseudogene	106479242		
RN7SL48P	RNA, 7SL, cytoplasmic 48, pseudogene	106481825		
RN7SL49P	RNA, 7SL, cytoplasmic 49, pseudogene	106480935		
RN7SL50P	RNA, 7SL, cytoplasmic 50, pseudogene	106479243		
RN7SL51P	RNA, 7SL, cytoplasmic 51, pseudogene	106480936		
RN7SL52P	RNA, 7SL, cytoplasmic 52, pseudogene	106480937		
RN7SL53P~withdrawn	entry withdrawn			
RN7SL54P~withdrawn	entry withdrawn			
RN7SL55P	RNA, 7SL, cytoplasmic 55, pseudogene	106479244		
RN7SL56P~withdrawn	entry withdrawn			
RN7SL57P	RNA, 7SL, cytoplasmic 57, pseudogene	106480484		
RN7SL58P	RNA, 7SL, cytoplasmic 58, pseudogene	106479245		
RN7SL59P~withdrawn	entry withdrawn			
RN7SL60P	RNA, 7SL, cytoplasmic 60, pseudogene	106480938		
RN7SL61P~withdrawn	entry withdrawn			
RN7SL62P	RNA, 7SL, cytoplasmic 62, pseudogene	106479246		
RN7SL63P	RNA, 7SL, cytoplasmic 63, pseudogene	106480939		
RN7SL64P~withdrawn	entry withdrawn			
RN7SL65P	RNA, 7SL, cytoplasmic 65, pseudogene	106479247		
RN7SL66P	RNA, 7SL, cytoplasmic 66, pseudogene	106480485		
RN7SL67P	RNA, 7SL, cytoplasmic 67, pseudogene	106479248		
RN7SL68P	RNA, 7SL, cytoplasmic 68, pseudogene	107080632		
RN7SL69P	RNA, 7SL, cytoplasmic 69, pseudogene	106480940		
RN7SL70P	RNA, 7SL, cytoplasmic 70, pseudogene	106479249		
RN7SL71P~withdrawn	entry withdrawn			
RN7SL72P	RNA, 7SL, cytoplasmic 72, pseudogene	106480941		
RN7SL73P	RNA, 7SL, cytoplasmic 73, pseudogene	106479250		
RN7SL74P	RNA, 7SL, cytoplasmic 74, pseudogene	106480942		
RN7SL75P	RNA, 7SL, cytoplasmic 75, pseudogene	107063539		
RN7SL76P	RNA, 7SL, cytoplasmic 76, pseudogene	106479251		
RN7SL77P	RNA, 7SL, cytoplasmic 77, pseudogene	106479252		
